Date,Close,High,Low,Open,Volume
2024-01-02,184.2904053,187.0700524,182.5531277,185.7894222,82488700.0
2024-01-03,182.9105072,184.528662,182.0964613,182.8807265,58414500.0
2024-01-04,180.5875397,181.7589539,179.5650289,180.8257852,71983600.0
2024-01-05,179.8628235,181.4313388,178.8601716,180.6669476,62303300.0
2024-01-08,184.2109985,184.2507162,180.1805167,180.7662238,59144500.0
2024-01-09,183.7940521,183.803974,181.4015689,182.5829202,42841800.0
2024-01-10,184.836441,185.0449059,182.5829392,183.0098211,46792900.0
2024-01-11,184.2407837,185.6901764,182.2851041,185.1838743,49128400.0
2024-01-12,184.5683746,185.3824206,183.8436859,184.7073562,40444700.0
2024-01-15,184.5683746,185.3824206,183.8436859,184.7073562,40444700.0
2024-01-16,182.2950439,182.9204536,179.6146604,180.8357294,65603000.0
2024-01-17,181.3519135,181.600096,178.9892263,179.9521756,47317400.0
2024-01-18,187.2586823,187.7649691,184.479035,184.7371393,78005800.0
2024-01-19,190.1673584,190.5545225,187.4472879,187.9535747,68741000.0
2024-01-22,192.4804382,193.909972,190.8622833,190.902001,60133900.0
2024-01-23,193.7610779,194.3269414,192.4209012,193.6022526,42355600.0
2024-01-24,193.0860138,194.9523513,192.9271733,193.9993237,53631300.0
2024-01-25,192.7584076,194.8431469,191.7061161,193.8007773,54822100.0
2024-01-26,191.0211029,193.3440874,190.5445968,192.8576594,44594000.0
2024-01-29,190.3361359,190.8027202,188.2017722,190.6140991,47145600.0
2024-01-30,186.6729736,190.4056487,186.1071253,189.5519002,55859400.0
2024-01-31,183.059433,185.7398165,183.0098086,185.68024,55467800.0
2024-02-01,185.5015259,185.5908679,182.4836334,182.6523957,64885400.0
2024-02-02,184.4988861,185.9681223,177.9468617,178.5524276,102518000.0
2024-02-05,186.315567,187.8741605,184.4889474,186.7821513,69668800.0
2024-02-06,187.9238129,187.9337347,185.4122069,185.501549,43490800.0
2024-02-07,188.0330048,189.6610815,187.2388177,189.2540585,53439000.0
2024-02-08,186.9509277,188.1620444,185.9879784,188.013141,40962000.0
2024-02-09,187.7163086,188.8494644,186.8714052,187.5174971,45155200.0
2024-02-12,186.026535,187.5374147,185.6686955,187.2889155,41781900.0
2024-02-13,183.9291687,185.0921584,182.4083547,184.6547973,56529500.0
2024-02-14,183.0445099,184.4162304,181.3447838,184.2074995,54630500.0
2024-02-15,182.7562561,183.382479,180.2613295,182.4481195,65434500.0
2024-02-16,181.2155609,183.7403214,180.5794035,182.318898,49701400.0
2024-02-19,181.2155609,183.7403214,180.5794035,182.318898,49701400.0
2024-02-20,180.4700623,181.3348346,178.9194296,180.6986773,53665600.0
2024-02-21,181.2255096,181.79208,179.5754713,180.847786,41529700.0
2024-02-22,183.2632141,183.8496838,181.3646915,182.3785574,52292200.0
2024-02-23,181.4243317,183.9291931,181.136064,183.8993744,45119700.0
2024-02-26,180.0724945,181.6628806,179.5655463,181.1460131,40867400.0
2024-02-27,181.5336609,182.8159102,178.4820831,180.0128468,54318900.0
2024-02-28,180.3309174,182.0207091,179.048668,181.4143703,48953900.0
2024-02-29,179.6649323,181.4740138,178.4522549,180.1818149,136682600.0
2024-03-01,178.5814819,179.4462544,176.3151703,178.4721417,73488000.0
2024-03-04,174.0488586,175.8380409,172.74671,175.0925432,81510100.0
2024-03-05,169.0987396,171.0072118,168.6017412,169.734897,95132400.0
2024-03-06,168.1047516,170.2120353,167.6673905,170.033108,68587700.0
2024-03-07,167.9854584,169.7050686,167.4785255,168.1345518,71765100.0
2024-03-08,169.7050781,172.65725,167.9258304,167.9854678,76114600.0
2024-03-11,171.7129669,173.3331867,171.0171721,171.9018288,60139500.0
2024-03-12,172.1900787,172.9852793,169.9834044,172.1105572,59825400.0
2024-03-13,170.1026764,172.1503074,169.7348873,171.7328305,52488700.0
2024-03-14,171.9614563,173.2635898,171.0171623,171.8720002,72913500.0
2024-03-15,171.583725,171.583725,169.2677106,170.1424326,121664700.0
2024-03-18,172.6771393,176.6431923,172.4783429,174.5160396,75604200.0
2024-03-19,175.0229645,175.5497816,171.9912711,173.2934045,55215200.0
2024-03-20,177.5974274,177.5974274,174.0389166,174.6651395,53423100.0
2024-03-21,170.3412323,176.4245032,169.8144152,175.9871422,106181300.0
2024-03-22,171.2457733,172.0111551,169.0390991,170.7288907,71106600.0
2024-03-25,169.8243713,170.9078243,168.4327666,169.5460534,54288300.0
2024-03-26,168.6912231,170.3909494,168.5619987,168.9794756,57388400.0
2024-03-27,172.2695923,172.5578599,169.0888054,169.3870075,60273300.0
2024-03-28,170.4505768,171.1960744,169.4863986,170.7189602,65672700.0
2024-03-29,170.4505768,171.1960744,169.4863986,170.7189602,65672700.0
2024-04-01,169.0092773,170.2219547,168.4625761,170.1623173,46240500.0
2024-04-02,167.8264313,168.3234297,167.2200926,168.064996,49329500.0
2024-04-03,168.6315613,169.6553768,167.5679925,167.7767234,47691700.0
2024-04-04,167.8065491,170.8879301,167.8065491,169.2677104,53704400.0
2024-04-05,168.5619812,169.3671162,167.9357584,168.5719157,42055200.0
2024-04-08,167.4387817,168.1842794,167.2300509,168.0153018,37425500.0
2024-04-09,168.6514587,169.0590011,167.3393907,167.6872805,42451200.0
2024-04-10,166.7727814,168.0749147,166.1068053,167.7866624,49709300.0
2024-04-11,173.989212,174.4067041,167.1505236,167.3294358,91070300.0
2024-04-12,175.4901581,177.2892901,173.1642089,173.2138967,101593300.0
